model,sample_size,setting,runs,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,rmse_mean,rmse_sd,rmse_ci95_low,rmse_ci95_high,nae_mean,nae_sd,nae_ci95_low,nae_ci95_high,tn_mean,tn_sd,tn_ci95_low,tn_ci95_high,fp_mean,fp_sd,fp_ci95_low,fp_ci95_high,fn_mean,fn_sd,fn_ci95_low,fn_ci95_high,tp_mean,tp_sd,tp_ci95_low,tp_ci95_high,eval_size_mean,eval_size_sd,eval_size_ci95_low,eval_size_ci95_high,original_eval_size_mean,original_eval_size_sd,original_eval_size_ci95_low,original_eval_size_ci95_high
Prompt_LLM,5000,D1_to_D1,5,0.51,0.006666666666666668,0.5017222400119749,0.5182777599880252,1.0,0.0,1.0,1.0,0.01999999999999996,0.013333333333333352,0.003444480023949717,0.0365555199760502,0.03894954818621598,0.025450421402990808,0.007348676191007701,0.07055042018142427,,,,,,,,,0.48999999999999994,0.00666666666666664,0.48172224001197483,0.49827775998802504,0.6999869916703987,0.004771201660111647,0.6940627623408681,0.7059112209999293,0.9800000000000001,0.013333333333333336,0.9634444800239499,0.9965555199760503,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,147.0,2.0,144.51667200359248,149.48332799640752,3.0,2.0,0.516672003592467,5.483327996407533,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
TFIDF_LR,5000,D1_to_D1,5,0.9314,0.005079370039680086,0.9250931290881744,0.9377068709118256,0.9245276229111468,0.008397648136422934,0.9141005655505674,0.9349546802717261,0.9396000000000001,0.009939818911831298,0.9272580847085142,0.951941915291486,0.9319527326745384,0.005094250787442436,0.9256273848739499,0.9382780804751268,0.9760496,0.0036489429702312604,0.9715188388823651,0.9805803611176348,0.9660385169301368,0.012902187680559328,0.950018334989118,0.9820586988711555,0.06860000000000001,0.005079370039680117,0.06229312908817437,0.07490687091182564,0.26177315528540795,0.00967052040492732,0.2497656182547148,0.27378069231610114,0.13720000000000002,0.010158740079360235,0.12458625817634875,0.1498137418236513,461.6,4.774934554525329,455.67113566986677,467.5288643301333,38.4,4.774934554525329,32.471135669866754,44.32886433013324,30.2,4.969909455915671,24.029042354257044,36.370957645742955,469.8,4.969909455915671,463.6290423542571,475.97095764574294,1000.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0
CodeBERT,200,D1_to_D2,5,0.562,0.021679483388678773,0.535081365976621,0.5889186340233791,0.5368600008459448,0.014804689917845068,0.5184775503703862,0.5552424513215033,0.916,0.049295030175464945,0.854792135740757,0.9772078642592431,0.6763497108972194,0.014073162757084649,0.6588755713608854,0.6938238504335534,0.71259,0.033447578387680026,0.6710593460889193,0.7541206539110806,0.6953312695347647,0.026507696501457154,0.6624176171135934,0.7282449219559359,0.438,0.021679483388678797,0.4110813659766209,0.4649186340233791,0.6616517294216455,0.016469249882183113,0.6412024547655171,0.682101004077774,0.876,0.043358966777357594,0.8221627319532419,0.9298372680467581,20.8,7.328028384224504,11.701050977493116,29.898949022506883,79.2,7.328028384224504,70.10105097749312,88.29894902250689,8.4,4.9295030175464944,2.2792135740756887,14.520786425924312,91.6,4.9295030175464944,85.47921357407569,97.7207864259243,200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0
LLM_RAG,200,D1_to_D2,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,0.5,0.5,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0
Prompt_LLM,200,D1_to_D2,5,0.5279999999999999,0.018907670401189056,0.5045230263729406,0.5514769736270593,0.685930735930736,0.11259677013824647,0.5461233801360503,0.8257380917254216,0.09400000000000001,0.04393176527297759,0.03945150868300528,0.14854849131699474,0.16352868346953228,0.07117117562352848,0.07515799698795947,0.25189936995110507,,,,,,,,,0.4720000000000001,0.018907670401189028,0.4485230263729407,0.49547697362705945,0.6869130095916067,0.013716652917223597,0.6698815354884335,0.7039444836947799,0.9440000000000002,0.037815340802378056,0.8970460527458815,0.9909539472541189,96.2,1.0954451150103321,94.83982523868349,97.56017476131652,3.8,1.0954451150103321,2.439825238683486,5.160174761316513,90.6,4.393176527297759,85.14515086830052,96.05484913169947,9.4,4.39317652729776,3.9451508683005256,14.854849131699474,200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0
TFIDF_LR,200,D1_to_D2,5,0.608,0.033279122584587505,0.5666785115949078,0.6493214884050922,0.5750574988920854,0.026173384724592026,0.5425589493684231,0.6075560484157476,0.836,0.04722287581247037,0.777365055212008,0.8946349447879919,0.6807383984898763,0.024228804993667294,0.6506543636097399,0.7108224333700126,0.6755599999999999,0.027703235370620496,0.6411618900065353,0.7099581099934645,0.6667349752492155,0.031959176705540986,0.6270524161217128,0.7064175343767183,0.392,0.03327912258458747,0.35067851159490787,0.43332148840509216,0.6256536112960097,0.026399779171936495,0.5928739559376865,0.6584332666543329,0.784,0.06655824516917494,0.7013570231898157,0.8666429768101843,38.0,7.0710678118654755,29.220109669149156,46.77989033085085,62.0,7.0710678118654755,53.22010966914915,70.77989033085085,16.4,4.722287581247038,10.536505521200809,22.26349447879919,83.6,4.722287581247039,77.7365055212008,89.46349447879919,200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0
CodeBERT,1500,D1_to_D2,5,0.6058666666666667,0.02116286055018711,0.5795895046224926,0.6321438287108407,0.5765921965269917,0.018007440144228212,0.5542330064000942,0.5989513866538891,0.8018666666666666,0.04488602851172686,0.7461333010413076,0.8576000322920256,0.670220267727121,0.01840820938757872,0.6473634568591679,0.6930770785950741,0.6503511111111111,0.03596285223585959,0.6056973322171224,0.6950048900050998,0.6172885839735989,0.04476693565142107,0.5617030916653246,0.6728740762818731,0.39413333333333334,0.021162860550187165,0.36785617128915915,0.4204104953775075,0.6276184755069447,0.01689609924184037,0.6066391973682735,0.6485977536456159,0.7882666666666667,0.042325721100374275,0.7357123425783184,0.8408209907550149,307.4,41.3557734784395,256.0500249539515,358.74997504604846,442.6,41.3557734784395,391.25002495395154,493.9499750460485,148.6,33.66452138379513,106.79997578098073,190.40002421901926,601.4,33.66452138379513,559.5999757809807,643.2000242190193,1500.0,0.0,1500.0,1500.0,1500.0,0.0,1500.0,1500.0
LLM_RAG,1500,D1_to_D2,5,0.4993333333333333,0.0014907119849998942,0.49748236992986805,0.5011842967367985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5006666666666667,0.0014907119849998445,0.4988157032632015,0.5025176300701318,0.7075774026411897,0.0010523415642498563,0.7062707480070473,0.7088840572753322,1.0013333333333334,0.002981423969999689,0.997631406526403,1.0050352601402637,149.8,0.4472135954999579,149.24471097896046,150.35528902103957,0.2,0.447213595499958,-0.3552890210395598,0.7552890210395597,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
Prompt_LLM,1500,D1_to_D2,5,0.5226666666666666,0.009545214042184216,0.5108147180353374,0.5345186152979958,0.6513842508570276,0.05735702909019701,0.5801660927918038,0.7226024089222514,0.09999999999999998,0.022607766610417565,0.07192875012005129,0.12807124987994867,0.1724377259519582,0.03412900742104543,0.1300609661428169,0.2148144857610995,,,,,,,,,0.47733333333333333,0.009545214042184235,0.4654813847020041,0.48918528196466254,0.6908654526793642,0.006915528493053184,0.6822786899209877,0.6994522154377406,0.9546666666666667,0.01909042808436847,0.9309627694040082,0.9783705639293251,141.8,2.7748873851023217,138.35452223484867,145.24547776515135,8.2,2.7748873851023212,4.754522234848656,11.645477765151343,135.0,3.391164991562634,130.7893125180077,139.2106874819923,15.0,3.391164991562634,10.789312518007698,19.210687481992302,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
TFIDF_LR,1500,D1_to_D2,5,0.6172,0.010191499726078935,0.6045455817024242,0.6298544182975757,0.5903334171325058,0.009024698348386847,0.5791277740986648,0.6015390601663467,0.7666666666666667,0.014236104336041762,0.7489902084379312,0.7843431248954023,0.6669693741100504,0.008069468808986761,0.6569498052053033,0.6769889430147975,0.6783347555555557,0.00962535993183029,0.666383292658449,0.6902862184526624,0.6749856139891268,0.01203628676840199,0.6600405900367458,0.6899306379415079,0.3828,0.010191499726078935,0.37014558170242423,0.3954544182975757,0.6186638289015756,0.008296596353477263,0.6083622439018342,0.6289654139013169,0.7656,0.020382999452157824,0.7402911634048485,0.7909088365951514,350.8,16.407315441594946,330.4276271089988,371.1723728910012,399.2,16.407315441594946,378.8276271089988,419.5723728910012,175.0,10.677078252031311,161.74265632844833,188.25734367155167,575.0,10.677078252031311,561.7426563284483,588.2573436715517,1500.0,0.0,1500.0,1500.0,1500.0,0.0,1500.0,1500.0
CodeBERT,5000,D1_to_D2,5,0.60388,0.012934140868260266,0.5878201429361852,0.6199398570638147,0.5761941150304077,0.010766255359148581,0.5628260433554846,0.5895621867053309,0.78696,0.017042535022701286,0.765798897824185,0.808121102175815,0.6651802698926099,0.00944801698386384,0.6534490073493284,0.6769115324358914,0.650323648,0.01491758408446621,0.6318010209021407,0.6688462750978592,0.621342008751198,0.023699714697059726,0.5919149262441583,0.6507690912582378,0.39611999999999997,0.012934140868260247,0.38006014293618523,0.4121798570638147,0.6293133716751502,0.010288356942093955,0.6165386892594824,0.642088054090818,0.7922399999999999,0.025868281736520494,0.7601202858723705,0.8243597141276294,1052.0,70.48049375536468,964.4869083283384,1139.5130916716616,1448.0,70.48049375536468,1360.4869083283384,1535.5130916716616,532.6,42.60633755675322,479.69724456046254,585.5027554395375,1967.4,42.60633755675322,1914.4972445604626,2020.3027554395376,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0
LLM_RAG,5000,D1_to_D2,5,0.5006666666666667,0.0014907119849998447,0.4988157032632015,0.5025176300701318,0.2,0.44721359549995804,-0.3552890210395599,0.75528902103956,0.00133333333333332,0.00298142396999969,-0.0023685934735970414,0.0050352601402636815,0.00264900662251654,0.005923358880794108,-0.00470581484820606,0.01000382809323914,,,,,,,,,0.4993333333333333,0.0014907119849998942,0.49748236992986805,0.5011842967367985,0.7066345883616778,0.0010558552548962513,0.7053235709043588,0.7079456058189968,0.9986666666666666,0.0029814239699997884,0.9949647398597361,1.002368593473597,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,149.8,0.4472135954999579,149.24471097896046,150.35528902103957,0.2,0.44721359549995804,-0.3552890210395599,0.75528902103956,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
Prompt_LLM,5000,D1_to_D2,5,0.54,0.014907119849998608,0.521490365965348,0.558509634034652,0.7733471593765711,0.08797731808412602,0.6641088908529906,0.8825854279001515,0.11466666666666665,0.036938387139186846,0.06880160120422532,0.16053173212910798,0.197746377945435,0.054592890920092715,0.1299603507320906,0.2655324051587794,,,,,,,,,0.45999999999999996,0.014907119849998594,0.44149036596534796,0.47850963403465196,0.678161731939854,0.01099234576522196,0.6645129319473703,0.6918105319323377,0.9199999999999999,0.029814239699997178,0.8829807319306959,0.9570192680693039,144.8,2.7748873851023217,141.35452223484867,148.24547776515135,5.2,2.7748873851023217,1.7545222348486567,8.645477765151345,132.8,5.540758070878027,125.92024018063381,139.6797598193662,17.2,5.540758070878027,10.3202401806338,24.0797598193662,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0
TFIDF_LR,5000,D1_to_D2,5,0.62236,0.008162597625756147,0.612224796396275,0.632495203603725,0.5990641518827795,0.008660127144810912,0.5883111837872006,0.6098171199783584,0.74088,0.009844389264956975,0.7286565762653993,0.7531034237346007,0.6623897369305518,0.0045216814681666925,0.6567753278401841,0.6680041460209195,0.686411664,0.01075400958993813,0.6730587974558357,0.6997645305441642,0.6793267983683863,0.012081193244435077,0.6643260156614287,0.6943275810753439,0.37764000000000003,0.008162597625756156,0.3675047963962751,0.38777520360372497,0.6144954291505332,0.006649018076180543,0.6062395827819338,0.6227512755191327,0.7552800000000001,0.01632519525151231,0.7350095927925502,0.7755504072074499,1259.6,55.72521870751159,1190.4080021388518,1328.791997861148,1240.4,55.72521870751159,1171.208002138852,1309.5919978611482,647.8,24.61097316239242,617.2414406634982,678.3585593365017,1852.2,24.61097316239242,1821.6414406634983,1882.7585593365018,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0
