model,sample_size,setting,runs,evaluation_scope,used_eval_size,full_eval_size_reference,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
CodeBERT,200,D1_to_D2,5,Full evaluation,200,200,0.562,0.0216794833886787,0.535081365976621,0.5889186340233791,0.5368600008459448,0.014804689917845,0.5184775503703862,0.5552424513215033,0.916,0.0492950301754649,0.854792135740757,0.9772078642592432,0.6763497108972194,0.0140731627570846,0.6588755713608854,0.6938238504335534,0.71259,0.03344757838768,0.6710593460889193,0.7541206539110806,0.6953312695347647,0.0265076965014571,0.6624176171135934,0.7282449219559359
LLM_RAG,200,D1_to_D2,5,Full evaluation,200,200,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,200,D1_to_D2,5,Full evaluation,200,200,0.5279999999999999,0.018907670401189,0.5045230263729406,0.5514769736270593,0.685930735930736,0.1125967701382464,0.5461233801360503,0.8257380917254216,0.094,0.0439317652729775,0.0394515086830052,0.1485484913169947,0.1635286834695322,0.0711711756235284,0.0751579969879594,0.251899369951105,,,,,,,,
TFIDF_LR,200,D1_to_D2,5,Full evaluation,200,200,0.608,0.0332791225845875,0.5666785115949078,0.6493214884050922,0.5750574988920854,0.026173384724592,0.5425589493684231,0.6075560484157476,0.836,0.0472228758124703,0.777365055212008,0.8946349447879919,0.6807383984898763,0.0242288049936672,0.6506543636097399,0.7108224333700126,0.6755599999999999,0.0277032353706204,0.6411618900065353,0.7099581099934645,0.6667349752492155,0.0319591767055409,0.6270524161217128,0.7064175343767183
CodeBERT,1500,D1_to_D2,5,Full evaluation,1500,1500,0.6058666666666667,0.0211628605501871,0.5795895046224926,0.6321438287108407,0.5765921965269917,0.0180074401442282,0.5542330064000942,0.5989513866538891,0.8018666666666666,0.0448860285117268,0.7461333010413076,0.8576000322920256,0.670220267727121,0.0184082093875787,0.6473634568591679,0.6930770785950741,0.6503511111111111,0.0359628522358595,0.6056973322171224,0.6950048900050998,0.6172885839735989,0.044766935651421,0.5617030916653246,0.6728740762818731
LLM_RAG,1500,D1_to_D2,5,"Stratified capped inference subset, max 300",300,1500,0.4993333333333333,0.0014907119849998,0.497482369929868,0.5011842967367985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,1500,D1_to_D2,5,"Stratified capped inference subset, max 300",300,1500,0.5226666666666666,0.0095452140421842,0.5108147180353374,0.5345186152979958,0.6513842508570276,0.057357029090197,0.5801660927918038,0.7226024089222514,0.0999999999999999,0.0226077666104175,0.0719287501200512,0.1280712498799486,0.1724377259519582,0.0341290074210454,0.1300609661428169,0.2148144857610995,,,,,,,,
TFIDF_LR,1500,D1_to_D2,5,Full evaluation,1500,1500,0.6172,0.0101914997260789,0.6045455817024242,0.6298544182975757,0.5903334171325058,0.0090246983483868,0.5791277740986648,0.6015390601663467,0.7666666666666667,0.0142361043360417,0.7489902084379312,0.7843431248954023,0.6669693741100504,0.0080694688089867,0.6569498052053033,0.6769889430147975,0.6783347555555557,0.0096253599318302,0.666383292658449,0.6902862184526624,0.6749856139891268,0.0120362867684019,0.6600405900367458,0.6899306379415079
CodeBERT,5000,D1_to_D2,5,Full evaluation,5000,5000,0.60388,0.0129341408682602,0.5878201429361852,0.6199398570638147,0.5761941150304077,0.0107662553591485,0.5628260433554846,0.5895621867053309,0.78696,0.0170425350227012,0.765798897824185,0.808121102175815,0.6651802698926099,0.0094480169838638,0.6534490073493284,0.6769115324358914,0.650323648,0.0149175840844662,0.6318010209021407,0.6688462750978592,0.621342008751198,0.0236997146970597,0.5919149262441583,0.6507690912582378
LLM_RAG,5000,D1_to_D2,5,"Stratified capped inference subset, max 300",300,5000,0.5006666666666667,0.0014907119849998,0.4988157032632015,0.5025176300701318,0.2,0.447213595499958,0.0,0.75528902103956,0.0013333333333333,0.0029814239699996,0.0,0.0050352601402636,0.0026490066225165,0.0059233588807941,0.0,0.0100038280932391,,,,,,,,
Prompt_LLM,5000,D1_to_D2,5,"Stratified capped inference subset, max 300",300,5000,0.54,0.0149071198499986,0.521490365965348,0.558509634034652,0.7733471593765711,0.087977318084126,0.6641088908529906,0.8825854279001515,0.1146666666666666,0.0369383871391868,0.0688016012042253,0.1605317321291079,0.197746377945435,0.0545928909200927,0.1299603507320906,0.2655324051587794,,,,,,,,
TFIDF_LR,5000,D1_to_D2,5,Full evaluation,5000,5000,0.62236,0.0081625976257561,0.612224796396275,0.632495203603725,0.5990641518827795,0.0086601271448109,0.5883111837872006,0.6098171199783584,0.74088,0.0098443892649569,0.7286565762653993,0.7531034237346007,0.6623897369305518,0.0045216814681666,0.6567753278401841,0.6680041460209195,0.686411664,0.0107540095899381,0.6730587974558357,0.6997645305441642,0.6793267983683863,0.012081193244435,0.6643260156614287,0.6943275810753439
